	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0000003"	0.00	15.38	19.38	43.78	34.15	41.82	43.95	20.64	25.63	24.67	34.30	24.90	24.19	50.40	15.28
"FBgn0000008"	6.37	8.01	10.48	6.92	8.13	6.99	2.89	1.65	2.43	4.11	3.47	3.63	5.30	7.42	9.08
"FBgn0000014"	0.00	0.00	0.02	0.01	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000015"	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000017"	10.06	17.69	23.00	4.86	7.12	2.95	30.19	18.35	26.46	7.09	5.39	6.01	8.38	10.85	17.07
"FBgn0000018"	22.17	22.11	19.93	28.36	27.44	26.90	15.89	15.88	16.65	25.82	21.39	26.19	32.41	30.39	26.10
"FBgn0000022"	0.74	0.61	0.24	0.72	0.79	0.77	1.02	0.48	0.95	1.45	0.63	1.46	3.60	1.00	1.56
"FBgn0000024"	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.01
"FBgn0000028"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000032"	154.50	156.17	148.17	164.48	169.28	164.38	144.39	130.92	136.01	166.60	150.86	159.64	161.70	154.01	157.81
"FBgn0000036"	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.00	0.02	0.00	0.00	0.00
"FBgn0000037"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000038"	0.00	0.02	0.00	0.05	0.00	0.00	0.06	0.03	0.06	0.05	0.00	0.08	0.17	0.18	0.20
"FBgn0000039"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000042"	1349.49	1463.81	1580.46	1629.79	1616.55	1770.83	2479.87	2240.40	2397.93	1216.60	1352.17	1328.13	1392.23	1284.34	1540.68
"FBgn0000043"	201.01	196.01	213.14	231.45	232.32	243.22	336.82	312.46	313.77	198.61	204.25	192.50	218.53	187.22	227.75
"FBgn0000044"	0.18	0.11	0.08	0.34	0.03	0.00	0.04	0.05	0.00	0.00	0.00	0.12	0.12	0.09	0.36
"FBgn0000045"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
"FBgn0000046"	0.00	0.00	0.00	0.03	0.07	0.04	0.00	0.00	0.00	0.00	0.00	0.04	0.05	0.05	0.00
"FBgn0000047"	0.05	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.05	0.04	0.00	0.00	0.00
"FBgn0000052"	16.53	19.73	23.57	18.73	18.18	19.17	5.40	3.60	5.62	11.00	11.03	12.32	12.58	15.41	15.80
"FBgn0000053"	24.27	22.79	26.37	31.68	30.27	30.56	29.64	30.34	28.42	19.28	30.32	28.92	10.62	11.21	11.32
