	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0081624"	0.00	15.38	19.38	43.78	34.15	41.82	43.95	20.64	25.63	24.67	34.30	24.90	24.19	50.40	15.28
"FBtr0071763"	1.31	1.91	2.22	1.00	1.57	1.40	0.22	0.68	0.89	0.70	0.63	1.05	1.64	1.85	2.83
"FBtr0071764"	0.09	0.26	0.30	0.13	0.18	0.14	0.08	0.15	0.32	0.00	0.21	0.13	0.15	0.08	0.33
"FBtr0100521"	4.77	5.17	7.96	5.00	6.02	5.32	2.59	0.68	0.98	3.40	2.63	2.46	2.96	5.50	5.46
"FBtr0342981"	0.20	0.67	0.00	0.79	0.36	0.13	0.00	0.13	0.24	0.00	0.00	0.00	0.56	0.00	0.46
"FBtr0083387"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083388"	0.00	0.00	0.02	0.01	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300485"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0306337"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083381"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083382"	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083383"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083384"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083385"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330709"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346764"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415463"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415464"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415465"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0075357"	3.52	6.26	11.10	1.63	0.80	1.12	4.55	7.95	12.93	3.72	2.76	2.90	4.29	5.74	7.01
"FBtr0112790"	0.89	1.33	1.57	0.70	1.26	0.00	0.00	2.10	2.48	0.34	0.33	0.61	0.89	1.67	1.70
"FBtr0330130"	0.00	0.98	0.14	0.28	0.30	0.27	0.01	0.64	0.98	0.00	0.25	0.32	0.00	0.00	0.03
"FBtr0330131"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330132"	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.57	0.44	0.01
"FBtr0330133"	0.13	0.06	0.52	0.00	0.00	0.00	1.79	0.01	0.42	0.00	0.00	0.00	0.00	0.00	1.30
"FBtr0330134"	0.32	0.95	0.00	0.00	0.00	0.00	0.62	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00
"FBtr0330135"	4.87	6.80	7.69	2.03	2.32	0.84	9.61	6.91	7.94	2.32	1.55	1.80	2.48	2.78	6.87
"FBtr0330136"	0.34	1.30	1.95	0.00	2.43	0.00	11.33	0.73	1.71	0.00	0.00	0.00	0.00	0.22	0.14
"FBtr0345369"	0.01	0.00	0.02	0.21	0.00	0.71	2.27	0.00	0.00	0.61	0.50	0.39	0.06	0.00	0.00
"FBtr0080168"	22.17	22.11	19.93	28.36	27.44	26.90	15.89	15.88	16.65	25.82	21.39	26.19	32.41	30.39	26.10
"FBtr0070072"	0.74	0.61	0.24	0.72	0.79	0.77	1.02	0.48	0.95	1.45	0.63	1.46	3.60	1.00	1.56
"FBtr0082780"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300486"	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0335223"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
"FBtr0074015"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100326"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100328"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290063"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290064"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305189"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305190"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305191"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305192"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305193"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
